date_time: 2023-01-21T01:33:13.000, MJD: 59964.835863598, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.475, altitude: 42.623870, azimuth: -77.285537, rotator: 105.795677, temperature: 3.2, humidity: 21.3
date_time: 2023-01-21T01:33:14.000, MJD: 59964.835875041, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.475, altitude: 42.621506, azimuth: -77.284044, rotator: 105.796668, temperature: 3.2, humidity: 21.3
date_time: 2023-01-21T01:33:15.000, MJD: 59964.835883849, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.475, altitude: 42.617449, azimuth: -77.283088, rotator: 105.797464, temperature: 3.2, humidity: 21.3
date_time: 2023-01-21T01:33:16.000, MJD: 59964.835894637, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.475, altitude: 42.613896, azimuth: -77.281544, rotator: 105.798464, temperature: 3.2, humidity: 21.3
date_time: 2023-01-21T01:33:16.000, MJD: 59964.835903368, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.475, altitude: 42.611535, azimuth: -77.280545, rotator: 105.799344, temperature: 3.2, humidity: 21.4
date_time: 2023-01-21T01:33:17.000, MJD: 59964.835914598, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.476, altitude: 42.608754, azimuth: -77.279684, rotator: 105.800073, temperature: 3.2, humidity: 21.4
date_time: 2023-01-21T01:33:18.000, MJD: 59964.835922586, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.476, altitude: 42.605457, azimuth: -77.278226, rotator: 105.800914, temperature: 3.2, humidity: 21.4
date_time: 2023-01-21T01:33:19.000, MJD: 59964.835933962, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.476, altitude: 42.602435, azimuth: -77.277265, rotator: 105.801770, temperature: 3.2, humidity: 21.4
date_time: 2023-01-21T01:33:20.000, MJD: 59964.835945371, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.476, altitude: 42.599790, azimuth: -77.275789, rotator: 105.802812, temperature: 3.2, humidity: 21.4
date_time: 2023-01-21T01:33:21.000, MJD: 59964.835955808, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.476, altitude: 42.595986, azimuth: -77.274432, rotator: 105.803890, temperature: 3.2, humidity: 21.5
date_time: 2023-01-21T01:33:22.000, MJD: 59964.835967139, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.476, altitude: 42.592450, azimuth: -77.273279, rotator: 105.804667, temperature: 3.2, humidity: 21.5
date_time: 2023-01-21T01:33:22.000, MJD: 59964.835973513, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.476, altitude: 42.589674, azimuth: -77.272309, rotator: 105.805619, temperature: 3.2, humidity: 21.5
date_time: 2023-01-21T01:33:23.000, MJD: 59964.835984972, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.476, altitude: 42.586531, azimuth: -77.271311, rotator: 105.806281, temperature: 3.2, humidity: 21.5
date_time: 2023-01-21T01:33:24.000, MJD: 59964.835992509, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.476, altitude: 42.584498, azimuth: -77.270343, rotator: 105.807030, temperature: 3.2, humidity: 21.5
date_time: 2023-01-21T01:33:25.000, MJD: 59964.836002742, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.476, altitude: 42.581463, azimuth: -77.268993, rotator: 105.808070, temperature: 3.3, humidity: 21.6
date_time: 2023-01-21T01:33:26.000, MJD: 59964.836013982, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.476, altitude: 42.578435, azimuth: -77.268223, rotator: 105.808764, temperature: 3.3, humidity: 21.6
date_time: 2023-01-21T01:33:27.000, MJD: 59964.836023378, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.476, altitude: 42.575303, azimuth: -77.266736, rotator: 105.809733, temperature: 3.3, humidity: 21.6
date_time: 2023-01-21T01:33:27.000, MJD: 59964.836031225, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.477, altitude: 42.572511, azimuth: -77.265669, rotator: 105.810513, temperature: 3.3, humidity: 21.6
date_time: 2023-01-21T01:33:28.000, MJD: 59964.836040151, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.477, altitude: 42.569724, azimuth: -77.264900, rotator: 105.811186, temperature: 3.3, humidity: 21.7
date_time: 2023-01-21T01:33:29.000, MJD: 59964.836051736, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.477, altitude: 42.566579, azimuth: -77.263408, rotator: 105.812272, temperature: 3.3, humidity: 21.7
date_time: 2023-01-21T01:33:30.000, MJD: 59964.836060404, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.477, altitude: 42.563541, azimuth: -77.262354, rotator: 105.812892, temperature: 3.3, humidity: 21.7
date_time: 2023-01-21T01:33:31.000, MJD: 59964.836070833, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.477, altitude: 42.561518, azimuth: -77.261483, rotator: 105.813796, temperature: 3.3, humidity: 21.8
date_time: 2023-01-21T01:33:31.000, MJD: 59964.836078215, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.477, altitude: 42.557475, azimuth: -77.260233, rotator: 105.814621, temperature: 3.3, humidity: 21.8
date_time: 2023-01-21T01:33:32.000, MJD: 59964.836088680, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.477, altitude: 42.554326, azimuth: -77.258848, rotator: 105.815578, temperature: 3.3, humidity: 21.8
date_time: 2023-01-21T01:33:33.000, MJD: 59964.836100143, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.477, altitude: 42.552059, azimuth: -77.257975, rotator: 105.816445, temperature: 3.3, humidity: 21.8
date_time: 2023-01-21T01:33:34.000, MJD: 59964.836108989, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.477, altitude: 42.548522, azimuth: -77.256619, rotator: 105.817352, temperature: 3.3, humidity: 21.9
