S-2020APXX-2020-06-08T20:37:51-DFOT-2K_IMG1.fits 238.9000999338248 11.18595004588448 V 	 astrometry successful
S-2020APXX-2020-06-08T20:42:46-DFOT-2K_IMG1.fits 238.89904668861357 11.185561603614516 V 	 astrometry successful
S-2020APXX-2020-06-08T20:52:40-DFOT-2K_IMG1.fits 238.89720198446804 11.184626698864342 V 	 astrometry successful
S-2020APXX-2020-06-08T21:03:19-DFOT-2K_IMG1.fits 238.89480211541468 11.183572701094025 V 	 astrometry successful
S-2020APXX-2020-06-08T21:13:26-DFOT-2K_IMG1.fits 238.8929181574909 11.18240353222232 V 	 astrometry successful
S-2020APXX-2020-06-08T21:23:15-DFOT-2K_IMG1.fits 238.89110291117353 11.181323523941352 V 	 astrometry successful
S-2020APXX-2020-06-08T18:01:38-DFOT-2K_IMG1.fits 238.9198610663776 11.189745785614798 V 	 astrometry successful
F-2020APXX-2020-06-08T23:19:35-DFOT-2K_IMG1.fits calibration file only!
F-2020APXX-2020-06-08T23:20:06-DFOT-2K_IMG1.fits calibration file only!
F-2020APXX-2020-06-08T23:20:55-DFOT-2K_IMG1.fits calibration file only!
F-2020APXX-2020-06-08T23:07:07-DFOT-2K_IMG1.fits calibration file only!
F-2020APXX-2020-06-08T23:09:27-DFOT-2K_IMG1.fits calibration file only!
F-2020APXX-2020-06-08T23:11:08-DFOT-2K_IMG1.fits calibration file only!
F-2020APXX-2020-06-08T23:12:37-DFOT-2K_IMG1.fits calibration file only!
F-2020APXX-2020-06-08T23:13:35-DFOT-2K_IMG1.fits calibration file only!
F-2020APXX-2020-06-08T23:14:18-DFOT-2K_IMG1.fits calibration file only!
F-2020APXX-2020-06-08T23:15:04-DFOT-2K_IMG1.fits calibration file only!
F-2020APXX-2020-06-08T23:16:34-DFOT-2K_IMG1.fits calibration file only!
F-2020APXX-2020-06-08T23:17:19-DFOT-2K_IMG1.fits calibration file only!
F-2020APXX-2020-06-08T23:17:58-DFOT-2K_IMG1.fits calibration file only!
S-2020APXX-2020-06-08T16:27:54-DFOT-2K_IMG1.fits 185.34417136629253 28.247461776285448 R 	 astrometry successful
S-2020APXX-2020-06-08T22:35:08-DFOT-2K_IMG1.fits 314.5751231533691 52.49719221688887 R 	 astrometry successful
S-2020APXX-2020-06-08T16:30:59-DFOT-2K_IMG1.fits 185.34315633590325 28.246997349704863 R 	 astrometry successful
S-2020APXX-2020-06-08T16:37:09-DFOT-2K_IMG1.fits 185.3410781400201 28.246204606416118 R 	 astrometry successful
S-2020APXX-2020-06-08T16:44:16-DFOT-2K_IMG1.fits 185.33831915063246 28.245217854759467 R 	 astrometry successful
S-2020APXX-2020-06-08T16:47:21-DFOT-2K_IMG1.fits 185.33716745789135 28.244793471056443 R 	 astrometry successful
S-2020APXX-2020-06-08T16:50:26-DFOT-2K_IMG1.fits 185.33618672876432 28.244369975496184 R 	 astrometry successful
S-2020APXX-2020-06-08T16:56:36-DFOT-2K_IMG1.fits 185.33428706929396 28.243638562689313 R 	 astrometry successful
S-2020APXX-2020-06-08T17:02:46-DFOT-2K_IMG1.fits 185.3322818171203 28.242716872303617 R 	 astrometry successful
S-2020APXX-2020-06-08T17:05:51-DFOT-2K_IMG1.fits 185.33123515098862 28.242378489240654 R 	 astrometry successful
S-2020APXX-2020-06-08T17:16:16-DFOT-2K_IMG1.fits 185.32807115226584 28.24106526638086 R 	 astrometry successful
S-2020APXX-2020-06-08T17:19:21-DFOT-2K_IMG1.fits 185.32722224213143 28.240659328683073 R 	 astrometry successful
S-2020APXX-2020-06-08T17:22:26-DFOT-2K_IMG1.fits 185.32640007856435 28.240321662181582 R 	 astrometry successful
S-2020APXX-2020-06-08T17:28:36-DFOT-2K_IMG1.fits 185.32460448593352 28.23948172222796 R 	 astrometry successful
S-2020APXX-2020-06-08T17:31:41-DFOT-2K_IMG1.fits 185.32367153354286 28.239098583416663 R 	 astrometry successful
S-2020APXX-2020-06-08T17:37:51-DFOT-2K_IMG1.fits 185.32205960845707 28.23837023774948 R 	 astrometry successful
S-2020APXX-2020-06-08T17:40:56-DFOT-2K_IMG1.fits 185.32127034492078 28.23795006295423 R 	 astrometry successful
S-2020APXX-2020-06-08T22:27:46-DFOT-2K_IMG1.fits 314.57605016539804 52.49793367158306 I 	 astrometry successful
S-2020APXX-2020-06-08T22:38:12-DFOT-2K_IMG1.fits 314.5748035424331 52.496868019565774 R 	 astrometry successful
S-2020APXX-2020-06-08T22:41:17-DFOT-2K_IMG1.fits 314.5743072372137 52.49657947886916 R 	 astrometry successful
S-2020APXX-2020-06-08T19:15:37-DFOT-2K_IMG1.fits 238.92027001481267 11.192050637489098 R 	 astrometry successful
S-2020APXX-2020-06-08T22:01:06-DFOT-2K_IMG1.fits 338.14719900581554 11.735177947760434 I 	 astrometry successful
S-2020APXX-2020-06-08T18:32:50-DFOT-2K_IMG1.fits 238.91992841821244 11.187649039300478 R 	 astrometry successful
S-2020APXX-2020-06-08T21:47:41-DFOT-2K_IMG1.fits 338.1512395917347 11.734713353272284 R 	 astrometry successful
S-2020APXX-2020-06-08T20:15:31-DFOT-2K_IMG1.fits 238.90607644475978 11.187663099542029 R 	 astrometry successful
S-2020APXX-2020-06-08T20:25:49-DFOT-2K_IMG1.fits 238.90349576436623 11.186757926659364 R 	 astrometry successful
S-2020APXX-2020-06-08T16:12:16-DFOT-2K_IMG1.fits 185.34897785056702 28.24965677158072 B 	 astrometry successful
S-2020APXX-2020-06-08T19:55:53-DFOT-2K_IMG1.fits 238.91131465115782 11.189463126869416 R 	 astrometry successful
S-2020APXX-2020-06-08T19:46:09-DFOT-2K_IMG1.fits 238.91340545363653 11.190104802075057 R 	 astrometry successful
S-2020APXX-2020-06-08T16:02:19-DFOT-2K_IMG1.fits 185.3525883976323 28.25103385430451 R 	 astrometry successful
S-2020APXX-2020-06-08T19:35:51-DFOT-2K_IMG1.fits 238.91609004797564 11.19072571602911 R 	 astrometry successful
S-2020APXX-2020-06-08T20:35:40-DFOT-2K_IMG1.fits 238.90061486753888 11.185957712366882 R 	 astrometry successful
S-2020APXX-2020-06-08T16:24:50-DFOT-2K_IMG1.fits 185.3451405040441 28.24785228704309 R 	 astrometry successful
S-2020APXX-2020-06-08T19:25:42-DFOT-2K_IMG1.fits 238.918315907838 11.191460611618044 R 	 astrometry successful
S-2020APXX-2020-06-08T20:05:40-DFOT-2K_IMG1.fits 238.9088898289801 11.188571139085566 R 	 astrometry successful
S-2020APXX-2020-06-08T16:06:45-DFOT-2K_IMG1.fits 185.35097612483563 28.250342651372456 V 	 astrometry successful
S-2020APXX-2020-06-08T17:56:27-DFOT-2K_IMG1.fits 238.91992640512282 11.190214213849872 I 	 astrometry successful
S-2020APXX-2020-06-08T18:21:58-DFOT-2K_IMG1.fits 238.91978624959137 11.188323748671046 R 	 astrometry successful
S-2020APXX-2020-06-08T19:05:09-DFOT-2K_IMG1.fits 238.92246182998707 11.1925539861032 R 	 astrometry successful
S-2020APXX-2020-06-08T20:45:27-DFOT-2K_IMG1.fits 238.89878188083026 11.185241022578657 R 	 astrometry successful
S-2020APXX-2020-06-08T20:55:26-DFOT-2K_IMG1.fits 238.89678131978187 11.184332082525092 R 	 astrometry successful
S-2020APXX-2020-06-08T21:11:15-DFOT-2K_IMG1.fits 238.8935549358754 11.182610206913747 R 	 astrometry successful
S-2020APXX-2020-06-08T21:20:55-DFOT-2K_IMG1.fits 238.8918729404796 11.181521097598528 R 	 astrometry successful
S-2020APXX-2020-06-08T18:18:35-DFOT-2K_IMG1.fits 238.91965403463917 11.188642892156151 V 	 astrometry successful
S-2020APXX-2020-06-08T18:30:05-DFOT-2K_IMG1.fits 238.91975893033515 11.187934013956884 V 	 astrometry successful
S-2020APXX-2020-06-08T19:12:43-DFOT-2K_IMG1.fits 238.92061334764372 11.192288030681167 V 	 astrometry successful
S-2020APXX-2020-06-08T19:27:53-DFOT-2K_IMG1.fits 238.91775575915358 11.191407081142785 V 	 astrometry successful
S-2020APXX-2020-06-08T19:38:04-DFOT-2K_IMG1.fits 238.91541395632962 11.190698127263856 V 	 astrometry successful
S-2020APXX-2020-06-08T19:53:10-DFOT-2K_IMG1.fits 238.9117658560308 11.18969621194538 V 	 astrometry successful
S-2020APXX-2020-06-08T20:07:57-DFOT-2K_IMG1.fits 238.9080874473051 11.188422935294014 V 	 astrometry successful
S-2020APXX-2020-06-08T20:17:42-DFOT-2K_IMG1.fits 238.90541294467866 11.187496325395578 V 	 astrometry successful
S-2020APXX-2020-06-08T20:33:00-DFOT-2K_IMG1.fits 238.90144765090884 11.186315172898563 V 	 astrometry successful
S-2020APXX-2020-06-08T20:47:36-DFOT-2K_IMG1.fits 238.8981799152324 11.185121395586634 V 	 astrometry successful
S-2020APXX-2020-06-08T20:57:39-DFOT-2K_IMG1.fits 238.89604741837357 11.184158203968963 V 	 astrometry successful
S-2020APXX-2020-06-08T21:18:15-DFOT-2K_IMG1.fits 238.89207040342828 11.18189456673793 V 	 astrometry successful
F-2020APXX-2020-06-08T23:18:56-DFOT-2K_IMG1.fits calibration file only!
F-2020APXX-2020-06-08T23:19:19-DFOT-2K_IMG1.fits calibration file only!
F-2020APXX-2020-06-08T23:19:51-DFOT-2K_IMG1.fits calibration file only!
F-2020APXX-2020-06-08T23:20:22-DFOT-2K_IMG1.fits calibration file only!
F-2020APXX-2020-06-08T23:05:47-DFOT-2K_IMG1.fits calibration file only!
F-2020APXX-2020-06-08T23:08:34-DFOT-2K_IMG1.fits calibration file only!
F-2020APXX-2020-06-08T23:10:19-DFOT-2K_IMG1.fits calibration file only!
F-2020APXX-2020-06-08T23:11:46-DFOT-2K_IMG1.fits calibration file only!
F-2020APXX-2020-06-08T23:13:03-DFOT-2K_IMG1.fits calibration file only!
F-2020APXX-2020-06-08T23:13:57-DFOT-2K_IMG1.fits calibration file only!
F-2020APXX-2020-06-08T23:14:40-DFOT-2K_IMG1.fits calibration file only!
F-2020APXX-2020-06-08T23:16:10-DFOT-2K_IMG1.fits calibration file only!
F-2020APXX-2020-06-08T23:16:54-DFOT-2K_IMG1.fits calibration file only!
F-2020APXX-2020-06-08T23:17:41-DFOT-2K_IMG1.fits calibration file only!
F-2020APXX-2020-06-08T23:18:13-DFOT-2K_IMG1.fits calibration file only!
S-2020APXX-2020-06-08T22:24:42-DFOT-2K_IMG1.fits 314.5764578448413 52.49806770504537 I 	 astrometry successful
S-2020APXX-2020-06-08T16:34:04-DFOT-2K_IMG1.fits 185.34213669584256 28.24655996328566 R 	 astrometry successful
S-2020APXX-2020-06-08T16:53:31-DFOT-2K_IMG1.fits 185.33527472192003 28.244002411669097 R 	 astrometry successful
S-2020APXX-2020-06-08T16:59:41-DFOT-2K_IMG1.fits 185.3332262805782 28.243122635078844 R 	 astrometry successful
S-2020APXX-2020-06-08T17:08:56-DFOT-2K_IMG1.fits 185.33018149428128 28.24196608148874 R 	 astrometry successful
S-2020APXX-2020-06-08T17:25:31-DFOT-2K_IMG1.fits 185.32556672652254 28.239863048185118 R 	 astrometry successful
S-2020APXX-2020-06-08T17:34:46-DFOT-2K_IMG1.fits 185.32292024319133 28.23876801716904 R 	 astrometry successful
S-2020APXX-2020-06-08T22:30:51-DFOT-2K_IMG1.fits 314.57565653245894 52.49776025762062 I 	 astrometry successful
S-2020APXX-2020-06-09T16:00:49.000-DFOT-2K_IMG1.fits 230.468487527864 39.5879710824819 R 	 astrometry successful
S-2020APXX-2020-06-09T15:43:56.000-DFOT-2K_IMG1.fits 230.4963761125923 39.588666386546734 R 	 astrometry successful
S-2020APXX-2020-06-09T15:50:27.000-DFOT-2K_IMG1.fits 230.4951514837862 39.58852181721879 R 	 astrometry successful
B-2020APXX-2020-06-10T15:46:31-DFOT-2K_IMG1.fits calibration file only!
B-2020APXX-2020-06-10T15:47:32-DFOT-2K_IMG1.fits calibration file only!
B-2020APXX-2020-06-10T15:47:58-DFOT-2K_IMG1.fits calibration file only!
F-2020APXX-2020-06-10T14:15:35-DFOT-2K_IMG1.fits calibration file only!
F-2020APXX-2020-06-10T14:17:44-DFOT-2K_IMG1.fits calibration file only!
F-2020APXX-2020-06-10T14:18:46-DFOT-2K_IMG1.fits calibration file only!
F-2020APXX-2020-06-10T14:19:59-DFOT-2K_IMG1.fits calibration file only!
F-2020APXX-2020-06-10T14:21:14-DFOT-2K_IMG1.fits calibration file only!
S-2020APXX-2020-06-10T16:12:25-DFOT-2K_IMG1.fits 227.58023576317873 55.703501711289064 R 	 astrometry successful
S-2020APXX-2020-06-10T16:20:31-DFOT-2K_IMG1.fits 227.5776110990465 55.70309892685342 R 	 astrometry successful
S-2020APXX-2020-06-10T16:31:54-DFOT-2K_IMG1.fits 227.57560529337263 55.702766814931586 R 	 astrometry successful
S-2020APXX-2020-06-10T16:37:36-DFOT-2K_IMG1.fits 227.57431224488732 55.70259210184937 R 	 astrometry successful
S-2020APXX-2020-06-10T16:43:01-DFOT-2K_IMG1.fits 227.57285053620024 55.702376815096116 R 	 astrometry successful
S-2020APXX-2020-06-10T16:49:24-DFOT-2K_IMG1.fits 227.57144397525218 55.7022039359812 R 	 astrometry successful
S-2020APXX-2020-06-11T19:08:58-DFOT-2K_IMG1.fits 219.174592125226 63.61005783702104 R 	 astrometry successful
